FilterItLogS,Lipinski,SIC0,RNCG,ATS0Z,RPCG,AETA_eta,AATS0i,measured log(solubility:mol/L)
-2.790325882761411,1,0.5,0.3307537887563039,1230.0,0.5512522318445603,0.9416839980112393,162.00771593701225,-2.18
-2.1299107218088973,1,0.5204260414863776,0.3116903930765027,942.0,0.6951889990559648,0.9134397077140336,164.10249396293085,-2.0
-2.433985882761411,1,0.5,0.25,1230.0,0.3354262337929164,0.8999870735113037,162.00771593701225,-1.74
-2.147370721808897,1,0.5204260414863776,0.3729168969379626,942.0,0.3640498515906619,0.7763281536020702,164.10249396293085,-1.48
-2.664600442853576,1,0.5204260414863776,0.2777515649885069,1182.0,0.5332215075648326,0.875353126733349,208.59110939383748,-3.04
-1.466564027736467,1,0.5,0.4294994501695388,654.0,0.4249604490181807,0.7319976555218857,166.19727198884948,-1.29
-1.4734632354264896,1,0.6131471927654584,0.337953349194981,652.0,0.4684429275844422,0.5180369948236496,159.957145310383,-1.64
-1.32901139470886,1,0.2782127046172332,0.4399992749239393,358.0,0.1921300333390096,0.8014789237666364,169.1143562038403,-0.43
-4.565661576512394,1,0.40701901811629,0.2024991002226271,1374.0,0.1943317499107611,0.572415590166779,150.26992932134152,-4.57
-2.865086620019952,1,0.2229051360093979,0.1280126518464554,372.0,0.1292439094868346,0.6413555620008358,158.49797205413583,-4.37
-4.565661576512394,1,0.40701901811629,0.2235158903168303,1374.0,0.2067228859640076,0.5686468211277809,150.26992932134152,-4.63
-3.7902854759326834,1,0.4184144184766947,0.2122767372541593,1086.0,0.1997938904577292,0.5038723824724101,151.66644800528726,-4.0
-3.055349557103468,1,0.2243071347541534,0.1405276501011813,336.0,0.1424372331111658,0.6513952425484276,160.00766805242802,-3.2
-5.429948783740722,1,0.40701901811629,0.1898528617643706,5118.0,0.2479720388157633,0.8802387307929832,140.73874352904153,-6.98
-4.565661576512394,1,0.40701901811629,0.2209237077077351,1374.0,0.1751476578898532,0.5663017261570916,150.26992932134152,-5.56
-3.6100823941215143,1,0.2137135814081428,0.1210579098880812,374.0,0.1362183381024409,0.7582383422427401,160.69961205164523,-4.59
-4.481116462516357,1,0.4184144184766947,0.184711206084072,3894.0,0.2352509611751642,0.725919671511607,144.51805866106227,-4.5
-3.7902854759326834,1,0.4184144184766947,0.2371604502617944,1086.0,0.18422518963894,0.4970792002394239,151.66644800528726,-3.59
-3.055349557103468,1,0.2243071347541534,0.1342762432499369,336.0,0.1429137865270977,0.6381949279922314,160.00766805242802,-3.31
-0.5786733952133488,1,0.3805307530778357,0.4355215913052869,350.0,0.2533131177736636,0.3503893219976222,160.08390144932102,0.62
-3.5028087403255728,1,0.40701901811629,0.1938564719107127,2670.0,0.2015821918382776,0.5843199491255144,148.29737379308304,-3.5
-2.3952937516760926,1,0.5,0.5,2526.0,0.2150216203342915,1.2132476260066607,159.04888264462448,-1.68
-3.002181541955481,1,0.40701901811629,0.223068644029482,798.0,0.1723180197670083,0.4305202075034616,153.06296668923304,-3.05
-1.8403640277364672,1,0.5,0.5,654.0,0.178463917718902,0.6422751292513551,166.19727198884948,-1.06
-1.8935864143233605,1,0.4149153817759055,0.4245671205720752,692.0,0.1633117832178022,0.8055606452384717,166.01889418629946,-1.6
-2.320915482362771,1,0.5,0.2252750441736261,974.0,0.5,0.7779277954656248,225.515425896725,-2.74
-1.70281139470886,1,0.2782127046172332,0.4506280005233379,358.0,0.0831287782875034,0.7346177197903799,169.1143562038403,-0.77
-3.342302394121514,1,0.2137135814081428,0.1202902161907178,374.0,0.1214465090801655,0.6812945813598769,160.69961205164523,-3.28
-1.7992379289184517,1,0.4764097655573916,0.2259655446655843,574.0,0.3025237031296714,0.4237482459461115,166.54512584168725,-3.1
-0.1468039322419945,1,0.3899728733539151,0.9112041475112818,178.0,0.1906739493172428,0.4936582311170165,167.53402662179943,-0.59
-4.481116462516357,1,0.4184144184766947,0.2005178659172409,3894.0,0.2554279709871281,0.7215950021496279,144.51805866106227,-5.6
-3.7902854759326834,1,0.4184144184766947,0.2577553808202132,1086.0,0.2001876848261888,0.4954973401635253,151.66644800528726,-4.48
-3.055349557103468,1,0.2243071347541534,0.1280509263610378,336.0,0.1427406883005728,0.6350180687006645,160.00766805242802,-3.4
